"index","detaileddesignstatus","fiberpullfootage","ponlocationapproved","residentialhhp","strandfootage","constructionpackagestatus","project","permitsapproved","borefootage","asbuiltscomplete","specialprojectsmduhoaother","businesshhp","totalhhp","detaileddesignstartdate","ponsize","projectedborefootage","odc","ponlocationdesigned","detaileddesigncompletiondate","preliminarycxpsenttoconstruction","asbuiltsreceivedfromconstruction","phase","estimatedaerialpercent","estimatedugpercent","estimatedpathfootage","dateconstructionpassedtooperations","poncabinetsetdate","actualactivationdate","constructionstartdate","borefootagecompleted","remainingstrand","targetconstructioncompletedate","actualconstructioncompletedate","asbuiltssenttoengineering","constructionpercentagecompleted","dateopsapprovedforactivation","strandcompleted","targetactivationdate","borefootageremaining","odccabinetready","numpermits","permitapprovalstatus","permitapproveddate","permitsubmitdate","packagestatus","package","hiearchy","packagepercentcomplete","ring","feeder","packagehomesearned","rolluphomesearned","downstreamhomes"
41,Complete,3496.0,"","0.0",0,Sent To Construction,Medina Fiber,"",0,"","","0.0","0.0","2022-04-25","","",MED09,"","","2022-07-27","","2",0.0,0.0,0,"","","","",0,0,"2022-11-16","","","0.8","",0,"2022-11-30","0.0",NO,1,Permits Approved,,"2021-08-19",Permitting,MED09-1,F2,0.075,MED Ring,MED09-1,7,33,281
42,Complete,4554.0,"","266.0",0,Sent To Construction,Medina Fiber,YES,23212,"","","3.0","269.0","2022-04-25","","",MED09,"","2022-04-14","2022-08-10","","2",0.0,0.0,0,"","","","",10793,0,"2022-12-09","","","0.19669956120247692","",0,"2022-12-23","12419.0",NO,1,Permits Approved,"2022-11-10","2021-08-19",Active Construction,LF09,F3,0.19669956120247692,MED Ring,MED09-1,26,26,269
43,Complete,0.0,"","12.0",0,Sent To Construction,Medina Fiber,"",2650,"",HOA,"0.0","12.0","","","",MED09,"","","2022-10-21","","2",0.0,0.0,0,"","","","",0,0,"2022-12-16","","","","",0,"2022-12-30","2650.0",NO,0,No Permits,,,Permitting,LF09-HOA1,F3,0.075,MED Ring,MED09-1,0,0,12
44,Complete,22966.0,"","0.0",0,Sent To Construction,Medina Fiber,"",26242,"","","0.0","0.0","2022-04-25","","",MED09,"","","2022-08-03","","2",0.0,0.0,0,"","","","",4094,0,"2023-01-27","","","0.06599707425918143","",0,"2023-02-10","22148.0",NO,7,Not Submitted,,"2022-09-07",Active Construction,MED09-2,F2,0.15939736683326328,MED Ring,MED09-2,26,45,463
45,Complete,0.0,"","167.0",0,Sent To Construction,Medina Fiber,"",25879,"","","12.0","179.0","2022-04-25","","",MED09,"","2022-04-13","2022-08-24","","2",0.0,0.0,0,"","","","",0,0,"2023-02-14","","","","",0,"2023-02-28","25879.0",NO,2,Not Submitted,,,Permitting,SM09,F3,0.075,MED Ring,MED09-2,7,7,179
46,Complete,27703.0,"","188.0",0,Sent To Construction,Guilford ARPA,"",37987,"","","23.0","211.0","2022-04-25","","",MED09,"","2022-04-14","2022-08-15","","2",0.0,0.0,0,"","","","",0,0,"2023-03-10","","","","",0,"2023-03-24","37987.0",NO,4,Not Submitted,,,Permitting,GT01,F3,0.075,MED Ring,MED09-2,8,8,211
47,Complete,7460.0,"","73.0",0,Sent To Construction,Medina Fiber,YES,8029,"","","0.0","73.0","2022-04-25","","",MED09,"","2022-04-14","2022-08-31","","2",0.0,0.0,0,"","","","",0,0,"2023-04-03","","","","",0,"2023-04-17","8029.0",NO,1,Permits Approved,"2022-09-09","2022-09-07",Permits Approved Ready For Construction,SM02,F3,0.1,MED Ring,MED09-2,4,4,73
48,Complete,11477.0,"","0.0",0,Sent To Construction,Medina Fiber,"",13525,"","","0.0","0.0","2022-05-18","","",MED08,"","","2022-08-03","","2",0.0,0.0,0,"","","","",0,0,"2023-06-12","","","","",0,"2023-06-26","13525.0",NO,7,Not Submitted,,"2022-09-12",Permitting,MED08-1,F2,0.075,MED Ring,MED08-1,13,32,490
49,Complete,0.0,"","187.0",0,Sent To Construction,Medina Fiber,"",9455,"","","2.0","189.0","2022-04-18","","",MED08,"","2022-04-20","2022-08-03","","2",0.0,0.0,0,"","","","",0,0,"2023-06-16","","","","",0,"2023-06-30","9455.0",NO,4,Not Submitted,,,Permitting,LF01,F3,0.075,MED Ring,MED08-1,7,7,189
50,Complete,0.0,"","144.0",0,Sent To Construction,Medina Fiber,"",20688,"","","6.0","150.0","2022-04-18","","",MED08,"","2022-05-03","2022-08-29","","2",0.0,0.0,0,"","","","",0,0,"2023-07-14","","","","",0,"2023-07-28","20688.0",NO,2,Permits Submitted,,"2022-09-12",Permitting,LF02,F3,0.075,MED Ring,MED08-1,6,6,150
51,Complete,5682.0,"","151.0",0,Sent To Construction,Medina Fiber,"",3066,"",Greenfield,"0.0","151.0","2022-04-18","","",MED08,"","2022-05-03","2022-07-26","","2",0.0,0.0,0,"","","","",0,0,"2023-06-12","","","","",0,"2023-06-26","",NO,1,Not Submitted,,,Permitting,LF02.1,F3,0.075,MED Ring,MED08-1,6,6,151
52,Complete,5207.0,"","0.0",0,Sent To Construction,Medina Fiber,"",5076,"","","0.0","0.0","2022-04-18","","",MED08,"","","2022-08-24","","2",0.0,0.0,0,"","","","2022-10-11",4879,0,"2022-11-16","","","0.9814404151085601","",0,"2022-11-30","197.0",NO,2,Permits Approved,,"",Active Construction,MED08-2,F2,0.9814404151085601,MED Ring,MED08-2,131,203,380
53,Complete,24818.0,"","380.0",0,Sent To Construction,Medina Fiber,YES,27591,"","","0.0","380.0","2022-04-18","","",MED08,"","2022-05-05","2022-08-24","","2",0.0,0.0,0,"","","","2022-10-11",24826,0,"2022-11-16","","","0.3806388265010106","",0,"2022-11-30","2765.0",NO,2,Permits Approved,"2022-08-12",,Active Construction,LF05,F3,0.3806388265010106,MED Ring,MED08-2,72,72,380
